max_depth	max_features	n_estimators	min_samples_leaf	min_samples_split	AUC	Test_acc	Train_acc	Train_acc-Test_acc
3.000000	3.000000	30.000000	30.000000	160.000000	0.826808	0.770042	0.752717	-0.017325
3.000000	3.000000	30.000000	40.000000	80.000000	0.836814	0.761603	0.752717	-0.008886
3.000000	3.000000	30.000000	40.000000	100.000000	0.825188	0.770042	0.754529	-0.015513
3.000000	3.000000	30.000000	40.000000	120.000000	0.834126	0.767932	0.755435	-0.012498
3.000000	3.000000	30.000000	40.000000	140.000000	0.840748	0.772152	0.751812	-0.020340
3.000000	3.000000	30.000000	40.000000	160.000000	0.832790	0.757384	0.750906	-0.006478
3.000000	3.000000	30.000000	50.000000	80.000000	0.827716	0.765823	0.758152	-0.007671
3.000000	3.000000	30.000000	50.000000	100.000000	0.835034	0.757384	0.756341	-0.001043
3.000000	3.000000	30.000000	50.000000	120.000000	0.829693	0.765823	0.753623	-0.012200
3.000000	3.000000	30.000000	50.000000	140.000000	0.829960	0.746835	0.744565	-0.002270
3.000000	3.000000	30.000000	50.000000	160.000000	0.827752	0.759494	0.750000	-0.009494
3.000000	3.000000	30.000000	60.000000	80.000000	0.827610	0.776371	0.749094	-0.027277
3.000000	3.000000	30.000000	60.000000	100.000000	0.826577	0.763713	0.743659	-0.020054
3.000000	3.000000	30.000000	60.000000	120.000000	0.825366	0.748945	0.747283	-0.001663
3.000000	3.000000	30.000000	60.000000	140.000000	0.832149	0.738397	0.753623	0.015227
3.000000	3.000000	30.000000	60.000000	160.000000	0.832737	0.767932	0.750000	-0.017932
3.000000	3.000000	40.000000	10.000000	80.000000	0.828482	0.755274	0.766304	0.011030
3.000000	3.000000	40.000000	10.000000	100.000000	0.839965	0.770042	0.781703	0.011661
3.000000	3.000000	40.000000	10.000000	120.000000	0.838007	0.772152	0.756341	-0.015811
3.000000	3.000000	40.000000	10.000000	140.000000	0.843419	0.759494	0.777174	0.017680
3.000000	3.000000	40.000000	10.000000	160.000000	0.838541	0.774262	0.779891	0.005630
3.000000	3.000000	40.000000	20.000000	80.000000	0.848707	0.778481	0.772645	-0.005836
